Dokument ID;Nachname;Vorname;Pseudonym;Gender;Titel;Untertitel_im_Text;Untertitel_im_Inhaltsverzeichnis;Jahr_ED;entstanden;Gattungslabel_ED;Gattungslabel_ED_normalisiert;Medium_ED;Medientyp_ED;Hg.;Kanon_Status;Nummer im Heft (ab 00797: 1 erste Position. 0 nicht erste Position);seriell;Seiten;Medium_Zweitdruck;Jahr_Zweitdruck;Label_Zweitdruck;Medium_Drittdruck;Jahr_Drittdruck;Label_Drittdruck;in_Deutscher_Novellenschatz_(Heyse);in_Pantheon;in_RUB_Sammlung;in_B-v-Wiese;Verantwortlich_Erfassung;falls andere Quelle;Herkunft_Prätext_lt_Paratext;Wahrheitsbeglaubigung_lt_Paratext;Bearbeitungsqualität;ist_spätere_Fassung_von;UrhGeschBis;falls_Episode_als_Ganztext_erfasst;Kontrafaktizität_annotiert
00616-04;Wildermuth;Ottilie;;f;Marie und Maria.;Novelle von Ottilie Wildermuth. (Fortsetzung.);;1864;;N;N;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 4 ;Familienblatt;;0;;TRUE;41-46;Perlen aus dem Sande. Erzählungen von Ottilie Wildermuth.;1867;N;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00616-05;Wildermuth;Ottilie;;f;Marie und Maria.;Novelle von Ottilie Wildermuth. (Fortsetzung.);;1864;;N;N;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 5 ;Familienblatt;;0;;TRUE;57-61;Perlen aus dem Sande. Erzählungen von Ottilie Wildermuth.;1867;N;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00616-06;Wildermuth;Ottilie;;f;Marie und Maria.;Novelle von Ottilie Wildermuth. (Schluß.);;1864;;N;N;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 6 ;Familienblatt;;0;;TRUE;71-74;Perlen aus dem Sande. Erzählungen von Ottilie Wildermuth.;1867;N;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00617-00;Camphausen;Wilhelm;;m;Ein Maler auf dem Kriegsfelde.;Von W. Camphausen.;;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 1;Familienblatt;;0;;TRUE;S.11-13;Ein Maler auf dem Kriegsfelde. Illustriertes Tagebuch. 1864;1864;0;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00617-01;Camphausen;Wilhelm;;m;Ein Maler auf dem Kriegsfelde.;Von W. Camphausen.;;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 1;Familienblatt;;0;;TRUE;S.11-13;Ein Maler auf dem Kriegsfelde. Illustriertes Tagebuch. 1864;1864;0;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00617-02;Camphausen;Wilhelm;;m;Ein Maler auf dem Kriegsfelde.;Von W. Camphausen. (Fortsetzung.);;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 2;Familienblatt;;0;;TRUE;26-27;Ein Maler auf dem Kriegsfelde. Illustriertes Tagebuch. 1864;1864;0;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00617-03;Camphausen;Wilhelm;;m;Ein Maler auf dem Kriegsfelde.;Von W. Camphausen. (Fortsetzung.);;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 3;Familienblatt;;0;;TRUE;38-39;Ein Maler auf dem Kriegsfelde. Illustriertes Tagebuch. 1864;1864;0;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00617-04;Camphausen;Wilhelm;;m;Ein Maler auf dem Kriegsfelde.;Von W. Camphausen. (Fortsetzung.);;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 4 ;Familienblatt;;0;;TRUE;51-53;Ein Maler auf dem Kriegsfelde. Illustriertes Tagebuch. 1864;1864;0;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00617-05;Camphausen;Wilhelm;;m;Ein Maler auf dem Kriegsfelde.;Von W. Camphausen. (Fortsetzung.);;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 5 ;Familienblatt;;0;;TRUE;64-68;Ein Maler auf dem Kriegsfelde. Illustriertes Tagebuch. 1864;1864;0;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00617-06;Camphausen;Wilhelm;;m;Ein Maler auf dem Kriegsfelde.;Von W. Camphausen. (Fortsetzung.);;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 6 ;Familienblatt;;0;;TRUE;77-80;Ein Maler auf dem Kriegsfelde. Illustriertes Tagebuch. 1864;1864;0;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00617-07;Camphausen;Wilhelm;;m;Ein Maler auf dem Kriegsfelde.;Von W. Camphausen. (Fortsetzung.);;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 7;Familienblatt;;0;;TRUE;89-92;Ein Maler auf dem Kriegsfelde. Illustriertes Tagebuch. 1864;1864;0;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00617-08;Camphausen;Wilhelm ;;m;Ein Maler auf dem Kriegsfelde.;Von W. Camphausen. (Schluß.);;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 8;Familienblatt;;0;;TRUE;101-103;Ein Maler auf dem Kriegsfelde. Illustriertes Tagebuch. 1864;1864;0;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00618-00;o.N.;o.N.;;unbekannt;Am Familientische.;Humor.;;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 1;Familienblatt;;0;;TRUE;16;;;;;;;;;;;Theresa Valta;;;;;;;;
00619-00;H.;;;unbekannt;Am Familientische. ;Was ist eine Stimmritze? Eine wahre Geschichte aus dem deutschen Schulleben.;;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 2;Familienblatt;;0;;TRUE;27-28;;;;;;;;;;;Theresa Valta;;;;;;;;
00620-00;Ernst;Joh.;;m;In der Sennhütte.;Eine Reise-Erinnerung von Joh. Ernst.;;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 3;Familienblatt;;0;;TRUE;32-35;;;;;;;;;;;Theresa Valta;;;;;;;;
00621-00;o.N.;o.N.;;unbekannt;Am Familientische.;Krune uff´m Kuppe.;;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 3;Familienblatt;;0;;TRUE;40;;;;;;;;;;;Theresa Valta;;;;;;;;
00622-00;S.;;;unbekannt;Am Famlientische.;Etwas vom Kaiser Franz II.;;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 3;Familienblatt;;0;;TRUE;40;;;;;;;;;;;Theresa Valta;;;;;;;;
00623-00;o.N.;o.N.;;unbekannt;Ein Sonntagsmorgen an Bord Sr. Maj. Fregatte Thetis auf dem indischen Ocean.;Von einem Officier der Besatzung.;;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 4 ;Familienblatt;;0;;TRUE;53-55;;;;;;;;;;;Theresa Valta;;;;;;;;
00624-00;o.N.;o.N.;;unbekannt;Am Familientische.;Hahnemann und der Engländer.;;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 4 ;Familienblatt;;0;;TRUE;56;;;;;;;;;;;Theresa Valta;;;;;;;;
00625-00;Gerstäcker;Friedrich;;m;Der Polizeiagent.;Erzählung von Friedrich Gerstäcker.;;1864;;E;E;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 7;Familienblatt;;0;;TRUE;81-86;;;;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00625-01;Gerstäcker;Friedrich;;m;Der Polizeiagent.;Erzählung von Friedrich Gerstäcker.;;1864;;E;E;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 7;Familienblatt;;0;;TRUE;81-86;;;;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00625-02;Gerstäcker;Friedrich;;m;Der Polizeiagent.;Erzählung von Friedrich Gerstäcker. (Fortsetzung.);;1864;;E;E;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 8;Familienblatt;;0;;TRUE;93-98;;;;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00625-03;Gerstäcker;Friedrich;;m;Der Polizeiagent.;Erzählung von Friedrich Gerstäcker. (Fortsetzung.);;1864;;E;E;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 9;Familienblatt;;0;;TRUE;105-108;;;;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00625-04;Gerstäcker;Friedrich;;m;Der Polizeiagent.;Erzählung von Friedrich Gerstäcker. (Fortsetzung.);;1864;;E;E;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 10;Familienblatt;;0;;TRUE;121-124;;;;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00625-05;Gerstäcker;Friedrich;;m;Der Polizeiagent.;Erzählung von Friedrich Gerstäcker. (Fortsetzung.);;1864;;E;E;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 11;Familienblatt;;0;;TRUE;137-140;;;;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00625-06;Gerstäcker;Friedrich;;m;Der Polizeiagent.;Erzählung von Friedrich Gerstäcker. (Schluß.);;1864;;E;E;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 12;Familienblatt;;0;;TRUE;151-152;;;;;;;;;;;Theresa Valta;;;;normalisiert;;;;
00626-00;O.;;;unbekannt;Am Familientische.;O du lieber Augustin,- ;;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 7;Familienblatt;;0;;TRUE;92;;;;;;;;;;;Theresa Valta;;;;;;;;
00627-00;v.S.;A.;;unbekannt;Am Familientische.;Eine Zuchthaus-Scene;;1864;;0;0;Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 8;Familienblatt;;0;;TRUE;103-104;;;;;;;;;;;Theresa Valta;;;;;;;;
00628-00;Willkomm;Ernst Adolf;;m;Weisse Sclaven oder die Leiden des Volkes;;;1845;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00629-00;Auerbach;Berthold;;m;Der Lehnhold;;;1854;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00630-00;Ruppius;Otto;;m;Der Pedlar;;;1857;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00631-00;Otto;Louise;;f;Nürnberg. Zweiter Band;;;1858;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00632-00;Kurz;Hermann;;m;Der Sonnenwirt;;;1854;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00633-00;Weerth;Georg;;m;Fragment eines Rs;;;1846;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00634-00;Stifter;Adalbert;;m;Die Mappe meines Urgroßvaters;;;1841;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;00874-00;;;
00635-00;Auerbach;Berthold;;m;Der Lautenbacher;;;1843;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00636-00;Ruppius;Otto;;m;Das Vermächtnis des Pedlars;;;1859;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00637-00;Aston;Louise;;f;Lydia;;;1848;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00638-00;Hoffmann;E. T. A. ;;m;Signor Formica;Eine Novellle;;1819;1819;N;N;Taschenbuch zum geselligen Vergnügen auf das Jahr 1820;Taschenbuch;Joh. Friedr. Gletitsch (Wien);2;;FALSE;145–284;Die Serapionsbrüder;1821;N;;;;TRUE;TRUE;TRUE;TRUE;Julian Schröter;Textgrid;;;normalisiert;;;;
00639-00;Aston;Louise;;f;Aus dem Leben einer Frau;;;1847;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00640-00;Auerbach;Berthold;;m;Barfüßele;;;1856;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00641-00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00642-00;Arnim;Bettina von;;f;Die Günderode;;;1840;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00643-00;Gerstäcker;Friedrich;;m;Die Regulatoren in Arkansas. Aus dem Waldleben Amerikas;;;1846;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00644-00;Stifter;Adalbert;;m;Die Narrenburg;;;1843;;R;R;Roman/Monographie;(unbekannt);;2;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00645-00;Schopenhauer;Adele;;f;Anna;;;1845;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00646-00;Stifter;Adalbert;;m;Zwei Schwestern;;;1846;;R;R;Roman/Monographie;(unbekannt);;2;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00647-00;Hahn-Hahn;Ida Gräfin von;;f;Sibylle;;;1846;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00648-00;Lewald;Fanny;;f;Jenny;;;1843;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00649-00;Arnim;Bettina von;;f;Clemens Brentanos Frühlingskranz;;;1844;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00650-00;Stifter;Adalbert;;m;Feldblumen;;;1841;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00651-00;Gutzkow;Karl;;m;Der Zauberer von Rom;;;1858;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00652-00;Kürnberger;Ferdinand;;m;Der Amerika-Müde;;;1855;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00653-00;Vischer;Friedrich Theodor;;m;Auch Einer 2;;;1879;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00654-00;Ebner-Eschenbach;Marie von;;f;Bozena;;;1876;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00655-00;François;Louise von;;f;Die letzte Reckenburgerin;;;1871;;R;R;Roman/Monographie;(unbekannt);;2;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00656-00;Raabe;Wilhelm;;m;Alte Nester;;;1879;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00657-00;Freytag;Gustav;;m;Die verlorene Handschrift;;;1864;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00658-00;Raabe;Wilhelm;;m;Der Schüdderump;;;1869;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00659-00;Meyer;Conrad Ferdinand;;m;Jürg Jenatsch;;;1876;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00660-00;François;Louise von;;f;Die Geschichte meines Urgroßvaters;;;1868;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00661-00;Vischer;Friedrich Theodor;;m;Auch Einer 1;;;1879;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00662-00;Fontane;Theodor;;m;Vor dem Sturm;;;1878;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00663-00;Reuter;Gabriele;;f;Five o’clock;;;1901;;N;N;Frauenseelen;Anthologie;;1;;;;;;;;;;FALSE;FALSE;;;;;;;;;;;
00664-00;Marlitt;Eugenie;;f;Das Heideprinzeßchen;;;1871;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00665-00;Raabe;Wilhelm;;m;Der Hungerpastor;;;1863;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00666-00;Spielhagen;Friedrich;;m;Problematische Naturen. Erste Abtheilung;;;1861;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00667-00;Marlitt;Eugenie;;f;Goldelse;;;1866;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00668-00;Marlitt;Eugenie;;f;Das Geheimnis der alten Mamsell;;;1867;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00669-00;Möllhausen;Balduin;;m;Die Mandanenwaise;;;1865;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00670-00;Spielhagen;Friedrich;;m;Hammer und Amboß;;;1869;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00671-00;Dahn;Felix;;m;Kampf um Rom;;;1876;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00672-00;Stifter;Adalbert;;m;Witiko;;;1865;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00673-00;Stifter;Adalbert;;m;Der Nachsommer;;;1857;;E;E;Buch;Buch;;3;;;;;;;;;;;;;;;;;;;;;;
00674-00;François;Louise von;;f;Judith die Kluswirtin;;;1862;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00675-00;Freytag;Gustav;;m;Die Ahnen;;;1872;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00676-00;Raabe;Wilhelm;;m;Die Leute aus dem Walde, ihre Sterne, Wege und Schicksale;;;1863;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00677-00;Raabe;Wilhelm;;m;Abu Telfan oder Die Heimkehr vom Mondgebirge;;;1867;;R;R;Roman/Monographie;(unbekannt);;2;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00678-00;Fontane;Theodor;;m;Unterm Birnbaum;;;1885;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00679-00;Spyri;Johanna;;f;Heidis Lehr- und Wanderjahre;;;1880;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00680-00;Fontane;Theodor;;m;Graf Petöfy;;;1884;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00681-00;May;Karl;;m;Am Jenseits;;;1899;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00682-00;Bahr;Hermann;;m;Die gute Schule;;;1890;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00683-00;Conradi;Hermann;;m;Adam Mensch;;;1889;;R;R;Roman/Monographie;(unbekannt);;2;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00684-00;Dohm;Hedwig;;f;Sibilla Dalmar;;;1896;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00685-00;Ebner-Eschenbach;Marie von;;f;Lotti, die Uhrmacherin;;;1880;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00686-00;Fontane;Theodor;;m;Irrungen, Wirrungen;;;1887;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00687-00;Janitschek;Maria;;f;Die Amazonenschlacht;;;1897;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00688-00;Bleibtreu;Karl;;m;Größenwahn;;;1888;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00689-00;Polenz;Wilhelm von;;m;Der Büttnerbauer;;;1895;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00690-00;Dohm;Hedwig;;f;Wie Frauen werden;;;1894;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00691-00;Christen;Ada;;f;Jungfer Mutter;;;1892;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00692-00;Spielhagen;Friedrich;;m;Zum Zeitvertreib;;;1897;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00693-00;Ernst;Paul;;m;Der Tod des Cosimo;;;1912;;N;N;Der Tode des Cosimo und andere Novellen;Anthologie;;1;;;;;;;;;;FALSE;FALSE;;;;gutenberg.org;;;;;;;
00694-00;Ganghofer;Ludwig;;m;Schloß Hubertus;;;1895;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00695-00;Spitteler;Carl;;m;Conrad;;;1898;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00696-00;Kretzer;Max;;m;Meister Timpe;;;1888;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00697-00;Ernst;Paul;;m;Der Dichter und die Schauspielerin;;;1912;;N;N;Der Tod des Cosimo und andere Novellen;Anthologie;;1;;;;;;;;;;FALSE;FALSE;;;;;;;;;;;
00698-00;Fontane;Theodor;;m;Cécile;;;1887;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00699-00;Raabe;Wilhelm;;m;Im alten Eisen;;;1887;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00700-00;Dohm;Hedwig;;f;Schicksale einer Seele;;;1899;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00701-00;Boy-Ed;Ida;;f;Fanny Förster;;;1889;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00702-00;Janitschek;Maria;;f;Ninive;;;1896;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00703-00;Wassermann;Jakob;;m;Caspar Hauser;;;1907;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00704-00;Reventlow;Franziska Gräfin zu;;f;Ellen Olestjerne;;;1903;;R;R;Roman/Monographie;(unbekannt);;2;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00705-00;Essig;Hermann;;m;Der Taifun;;;1919;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00706-00;Rilke;Rainer Maria;;m;Die Aufzeichnungen des Malte Laurids Brigge;;;1910;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00707-00;Keyserling;Eduard von;;m;Dumala;;;1907;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00708-00;May;Karl;;m;Und Friede auf Erden!;;;1904;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00709-00;Braun;Lily;;f;Lebenssucher;;;1915;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00710-00;Sack;Gustav;;m;Paralyse;;;1913;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00711-00;May;Karl;;m;Ardistan und Dschinnistan II;;;1909;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00712-00;Ganghofer;Ludwig;;m;Der Ochsenkrieg;;;1914;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00713-00;Meysenbug;Malwida Freiin von;;f;Himmlische und irdische Liebe;;;1905;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00714-00;Heyking;Elisabeth von;;f;Briefe, die ihn nicht erreichten;;;1903;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00715-00;Fontane;Theodor;;m;Mathilde Möhring;;;1906;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00716-00;Wille;Bruno;;m;Die Abendburg;;;1909;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00717-00;Reventlow;Franziska Gräfin zu;;f;Von Paul zu Pedro;;;1912;;R;R;Roman/Monographie;(unbekannt);;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00718-00;Schnitzler;Arthur;;m;Casanovas Heimfahrt;;;1918;;0;0;Die neue Rundschau;Rundschau;;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00719-00;Sudermann;Hermann;;m;Jons und Erdme;;;1917;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00720-00;Christ;Lena;;f;Madam Bäurin;;;1920;;R;R;Roman/Monographie;(unbekannt);;2;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00721-00;Schnitzler;Arthur;;m;Der Weg ins Freie;;;1907;;R;R;Roman/Monographie;Monographie;;3;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00722-00;Ball;Hugo;;m;Flammetti;;;1918;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
00723-00;Hoffmann;E. T. A. ;;m ;Die Bergwerke zu Falun;;;1819;;E;E;Die Serapionsbrüder, Bd.1;Zyklus;;3;;;;;;;;;;;;;;;Textgrid;;;normalisiert;;;;
00724-00;Keyserling;Eduard von;;m;Wellen;;;1911;;R;R;Roman/Monographie;(unbekannt);;1;;;;;;;;;;;;;;;ELTeC;;;normalisiert;;;;
