Dokument ID;Nachname;Vorname;Pseudonym;Gender;Titel;Untertitel_im_Text;Untertitel_im_Inhaltsverzeichnis;Jahr_ED;entstanden;Gattungslabel_ED;Gattungslabel_ED_normalisiert;Medium_ED;Medientyp_ED;Hg.;Kanon_Status;Nummer im Heft (ab 00797: 1 erste Position. 0 nicht erste Position);seriell;Seiten;Medium_Zweitdruck;Jahr_Zweitdruck;Label_Zweitdruck;Medium_Drittdruck;Jahr_Drittdruck;Label_Drittdruck;in_Deutscher_Novellenschatz_(Heyse);in_Pantheon;in_RUB_Sammlung;in_B-v-Wiese;Verantwortlich_Erfassung;falls andere Quelle;Herkunft_Prätext_lt_Paratext;Wahrheitsbeglaubigung_lt_Paratext;Bearbeitungsqualität;ist_spätere_Fassung_von;UrhGeschBis;falls_Episode_als_Ganztext_erfasst;Kontrafaktizität_annotiert
00034-00;Tieck;Ludwig;;m;Der Pokal;;;1812;;0;0;Phantasus, Bd. 1;Sammlung;;2;;FALSE;442-467;;;;;;;;;;;;;;;unknown;;;;
00035-00;Tieck;Ludwig;;m;Liebeszauber;;;1812;;0;0;Phantasus, Bd. 1;Sammlung;;2;;FALSE;284-325;;;;;;;;;;;;;;;unknown;;;;
00036-00;o.N;o.N.;;unbekannt;Das Vermächtniß des Freundes;;;1827;;0;0;Urania. Ein Taschenbuch für das Jahr 1828;Taschenbuch;;0;;FALSE;;;;;;;;;0;0;0;Julian Schröter;;;;unknown;;;;
00037-00;Arnim;Ludwig Achim, von;;m;Winter-Launen. Siebenter Winterabend.;;;1809;;N;N;Der Winterabend. Novellen.;Anthologie;;2;;FALSE;;;;;;;;;;;;;Textgrid;;;normalisiert;;;;
00038-00;Arnim;Ludwig Achim, von;;m;Die drei Erznarren. Siebenter Winterabend.;;;1809;;N;N;Der Winterabend. Novellen.;Anthologie;;2;;FALSE;;;;;;;;;;;;;Textgrid;;;normalisiert;;;;
00039-00;Arnim;Ludwig Achim, von;;m;Ariel. Siebenter Winterabend.;;;1809;;N;N;Der Winterabend. Novellen.;Anthologie;;2;;FALSE;;;;;;;;;;;;;Textgrid;;;normalisiert;;;;
00040-00;Hauff;Wilhelm;;m;Jud Süß;Novelle;;1827;;N;N;Cottas Morgenblatt für gebildete Stände;Zeitschrift;;2;;TRUE;;;;;;;;;;;;;;;;normalisiert;;;;
00041-00;Schefer;Leopold;;m;Die Deportirten;Novelle;;1824;;N;N;Taschenbuch zum geselligen Vergnügen auf das Jahr 1825;Taschenbuch;;1;;FALSE;112-321;;;;;;;;;;;;;;;normalisiert;;;;
00042-00;Goethe;Johann Wolfgang;;m;Die neue Melusine;Märchen;;1816;;M;M;Taschenbuch für Damen auf das Jahr 1817/1819;Taschenbuch;;3;;FALSE;;;;;;;;FALSE;;;;;Textgrid;;;normalisiert;;;;
00042-01;Goethe;Johann Wolfgang;;m;Die neue Melusine;Märchen;;1816;;M;M;Taschenbuch für Damen auf das Jahr 1817/1819;Taschenbuch;;3;;FALSE;;;;;;;;FALSE;;;;;Textgrid;;;normalisiert;;;;
00042-02;Goethe;Johann Wolfgang;;m;Die neue Melusine;Märchen;;1816;;M;M;Taschenbuch für Damen auf das Jahr 1817/1819;Taschenbuch;;3;;FALSE;;;;;;;;FALSE;;;;;Textgrid;;;normalisiert;;;;
00043-00;Zschokke;Heinrich;;m;Das Abenteuer der Neujahrsnacht;Erzählung;;1818;;0;0;Erheiterungen. Eine Monatsschrift für gebildete Leser;Zeitschrift;;1;;TRUE;;;;;;;;;;;;;;;;normalisiert;;;;
00044-00;Goethe;Johann Wolfgang;;m;Der Mann von funfzig Jahren;;;1817;;0;0;Taschenbuch für Damen auf das Jahr 1818;Taschenbuch;;3;;FALSE;;;;;;;;FALSE;;FALSE;TRUE;;Textgrid;;;normalisiert;;;;
00045-00;Hoffmann;E. T. A. ;;m;Die Doppelgänger;Erzählung;;1822;;E;E;Feierstunden. Eine Schrift für edle Unterhaltung in zwanglosen Bänden (Brünn);Taschenbuch;;2;;FALSE;;;;;;;;;;;;;;;;normalisiert;;;;
00046-00;Grillparzer;Franz;;m;Der arme Spielmann;Erzählung;;1847;;E;E;Iris – Almanach/Taschenbuch auf das Jahr 1848 ;Taschenbuch;;3;;FALSE;1-54;;;;;;;TRUE;;;;;DTA_Novellenschatz;;;normalisiert;;;;
00047-00;Droste-Hülshoff;Annette, von;;f;Die Judenbuche;Sittengemälde;;1842;;Sittengemälde;XE;Cottas’s Morgenblatt für gebildete Leser;Zeitschrift;;3;;TRUE;;Deutscher Novellenschatz (Heyse);1871;Novelle;;;;TRUE;;TRUE;;;DTA_Novellenschatz;;;normalisiert;;;;1
